Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density,vector_core
features.0,224,224,3,3,3,64,1,1,1.0,1.0,0
features.3.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1.0,1.0,1
features.3.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1.0,1.0,1
features.3,224,224,3,3,64,64,1,1,0.6032565832138062,1.0,0
features.7.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1.0,1.0,1
features.7.mask_c.atten_c.3,1,1,1,1,16,128,1,1,1.0,1.0,1
features.7,112,112,3,3,64,128,1,1,0.6059793829917908,0.6032565832138062,0
features.10.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1.0,1.0,1
features.10.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1.0,1.0,1
features.10,112,112,3,3,128,128,1,1,0.5160342454910278,0.6059793829917908,0
features.14.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1.0,1.0,1
features.14.mask_c.atten_c.3,1,1,1,1,32,256,1,1,1.0,1.0,1
features.14,56,56,3,3,128,256,1,1,0.6111704111099243,0.5160342454910278,0
features.17.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1.0,1.0,1
features.17.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1.0,1.0,1
features.17,56,56,3,3,256,256,1,1,0.6338725090026855,0.6111704111099243,0
features.20.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1.0,1.0,1
features.20.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1.0,1.0,1
features.20,56,56,3,3,256,256,1,1,0.5426703989505768,0.6338725090026855,0
features.24.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1.0,1.0,1
features.24.mask_c.atten_c.3,1,1,1,1,64,512,1,1,1.0,1.0,1
features.24,28,28,3,3,256,512,1,1,0.5818086564540863,0.5426703989505768,0
features.27.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1.0,1.0,1
features.27.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1.0,1.0,1
features.27,28,28,3,3,512,512,1,1,0.6558723449707031,0.5818086564540863,0
features.30.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1.0,1.0,1
features.30.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1.0,1.0,1
features.30,28,28,3,3,512,512,1,1,0.4585644006729126,0.6558723449707031,0
features.34.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1.0,1.0,1
features.34.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1.0,1.0,1
features.34,14,14,3,3,512,512,1,1,0.701048880815506,0.4585644006729126,0
features.37.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1.0,1.0,1
features.37.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1.0,1.0,1
features.37,14,14,3,3,512,512,1,1,0.7803384810686111,0.701048880815506,0
features.40.mask_c.atten_c.0,1,1,1,1,512,128,1,1,1.0,1.0,1
features.40.mask_c.atten_c.3,1,1,1,1,128,512,1,1,1.0,1.0,1
features.40,14,14,3,3,512,512,1,1,0.5830225348472595,0.7803384810686111,0
classifier.0,1,1,1,1,25088,4096,1,1,1.0,1.0,0
classifier.3,1,1,1,1,4096,4096,1,1,1.0,1.0,0
classifier.6,1,1,1,1,4096,1000,1,1,1.0,1.0,0
