Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density,vector_core
conv1,224,224,7,7,3,64,2,1.0,1.0,1.0,0
layer1.0.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer1.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.0.mask_c.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.0.conv1,56,56,3,3,64,64,1,0.9995339534070808,0.42307156324386597,1.0,0
layer1.0.conv2,56,56,3,3,64,64,1,0.9995339534070808,1.0,0.42307156324386597,0
layer1.1.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer1.1.mask_c.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.1.mask_c.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.1.conv1,56,56,3,3,64,64,1,0.0005382299423217773,0.32775187492370605,1.0,0
layer1.1.conv2,56,56,3,3,64,64,1,0.0005382299423217773,1.0,0.32775187492370605,0
layer1.2.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer1.2.mask_c.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.2.mask_c.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.2.conv1,56,56,3,3,64,64,1,0.5649913251399994,0.09591752290725708,1.0,0
layer1.2.conv2,56,56,3,3,64,64,1,0.5649913251399994,1.0,0.09591752290725708,0
layer2.0.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer2.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer2.0.mask_c.atten_c.3,1,1,1,1,16,128,1,1.0,1.0,1.0,1
layer2.0.conv1,56,56,3,3,64,128,2,0.9899941897019744,0.6883831322193146,1.0,0
layer2.0.conv2,28,28,3,3,128,128,1,0.9899941897019744,1.0,0.6883831322193146,0
layer2.0.downsample,56,56,1,1,64,128,2,1.0,1.0,1.0,0
layer2.1.mask_s.atten_s,7,7,3,3,128,1,1,1.0,1.0,1.0,1
layer2.1.mask_c.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.1.mask_c.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.1.conv1,28,28,3,3,128,128,1,0.9756643287837505,0.34505486488342285,1.0,0
layer2.1.conv2,28,28,3,3,128,128,1,0.9756643287837505,1.0,0.34505486488342285,0
layer2.2.mask_s.atten_s,7,7,3,3,128,1,1,1.0,1.0,1.0,1
layer2.2.mask_c.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.2.mask_c.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.2.conv1,28,28,3,3,128,128,1,0.14896035194396973,0.2788844704627991,1.0,0
layer2.2.conv2,28,28,3,3,128,128,1,0.14896035194396973,1.0,0.2788844704627991,0
layer2.3.mask_s.atten_s,7,7,3,3,128,1,1,1.0,1.0,1.0,1
layer2.3.mask_c.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.3.mask_c.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.3.conv1,28,28,3,3,128,128,1,0.9113385230302811,0.5383643507957458,1.0,0
layer2.3.conv2,28,28,3,3,128,128,1,0.9113385230302811,1.0,0.5383643507957458,0
layer3.0.mask_s.atten_s,7,7,3,3,128,1,1,1.0,1.0,1.0,1
layer3.0.mask_c.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer3.0.mask_c.atten_c.3,1,1,1,1,32,256,1,1.0,1.0,1.0,1
layer3.0.conv1,28,28,3,3,128,256,2,0.9587208852171898,0.7788025587797165,1.0,0
layer3.0.conv2,14,14,3,3,256,256,1,0.9587208852171898,1.0,0.7788025587797165,0
layer3.0.downsample,28,28,1,1,128,256,2,1.0,1.0,1.0,0
layer3.1.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer3.1.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.1.mask_c.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.1.conv1,14,14,3,3,256,256,1,0.8785526603460312,0.5521435737609863,1.0,0
layer3.1.conv2,14,14,3,3,256,256,1,0.8785526603460312,1.0,0.5521435737609863,0
layer3.2.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer3.2.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.2.mask_c.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.2.conv1,14,14,3,3,256,256,1,0.8771520107984543,0.4618781805038452,1.0,0
layer3.2.conv2,14,14,3,3,256,256,1,0.8771520107984543,1.0,0.4618781805038452,0
layer3.3.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer3.3.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.3.mask_c.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.3.conv1,14,14,3,3,256,256,1,0.5634786188602448,0.5226064026355743,1.0,0
layer3.3.conv2,14,14,3,3,256,256,1,0.5634786188602448,1.0,0.5226064026355743,0
layer3.4.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer3.4.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.4.mask_c.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.4.conv1,14,14,3,3,256,256,1,0.7528229206800461,0.45210927724838257,1.0,0
layer3.4.conv2,14,14,3,3,256,256,1,0.7528229206800461,1.0,0.45210927724838257,0
layer3.5.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer3.5.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.5.mask_c.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.5.conv1,14,14,3,3,256,256,1,0.5858059227466583,0.5755211412906647,1.0,0
layer3.5.conv2,14,14,3,3,256,256,1,0.5858059227466583,1.0,0.5755211412906647,0
layer4.0.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer4.0.mask_c.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer4.0.mask_c.atten_c.3,1,1,1,1,64,512,1,1.0,1.0,1.0,1
layer4.0.conv1,14,14,3,3,256,512,2,0.746657520532608,0.9561053141951561,1.0,0
layer4.0.conv2,7,7,3,3,512,512,1,0.746657520532608,1.0,0.9561053141951561,0
layer4.0.downsample,14,14,1,1,256,512,2,1.0,1.0,1.0,0
layer4.1.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer4.1.mask_c.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer4.1.mask_c.atten_c.3,1,1,1,1,128,512,1,1.0,1.0,1.0,1
layer4.1.conv1,7,7,3,3,512,512,1,0.5813591480255127,0.6113771796226501,1.0,0
layer4.1.conv2,7,7,3,3,512,512,1,0.5813591480255127,1.0,0.6113771796226501,0
layer4.2.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer4.2.mask_c.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer4.2.mask_c.atten_c.3,1,1,1,1,128,512,1,1.0,1.0,1.0,1
layer4.2.conv1,7,7,3,3,512,512,1,0.9824032746255398,0.9082627072930336,1.0,0
layer4.2.conv2,7,7,3,3,512,512,1,0.9824032746255398,1.0,0.9082627072930336,0
fc,1,1,1,1,512,1000,1,1.0,1.0,1.0,0
