Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density,vector_core
conv1,224,224,7,7,3,64,2,1.0,1,1,0
layer1.0.masker.maskconv.fc,1,1,1,1,64,1,1,1.0,1,1,1
layer1.0.masker.maskconv.conv,56,56,3,3,64,1,1,1.0,1,1,1
layer1.0.conv1,56,56,1,1,64,64,1,0.6950497627258301,1,1,0
layer1.0.conv2,56,56,3,3,64,64,1,0.4510430097579956,1,1,0
layer1.0.conv3,56,56,1,1,64,256,1,0.4510430097579956,1,1,0
layer1.0.downsample,56,56,1,1,64,256,1,1.0,1,1,0
layer1.1.masker.maskconv.fc,1,1,1,1,256,1,1,1.0,1,1,1
layer1.1.masker.maskconv.conv,56,56,3,3,256,1,1,1.0,1,1,1
layer1.1.conv1,56,56,1,1,256,64,1,0.6858725249767303,1,1,0
layer1.1.conv2,56,56,3,3,64,64,1,0.4176744222640991,1,1,0
layer1.1.conv3,56,56,1,1,64,256,1,0.4176744222640991,1,1,0
layer1.2.masker.maskconv.fc,1,1,1,1,256,1,1,1.0,1,1,1
layer1.2.masker.maskconv.conv,56,56,3,3,256,1,1,1.0,1,1,1
layer1.2.conv1,56,56,1,1,256,64,1,0.0,1,1,0
layer1.2.conv2,56,56,3,3,64,64,1,0.0,1,1,0
layer1.2.conv3,56,56,1,1,64,256,1,0.0,1,1,0
layer2.0.masker.maskconv.fc,1,1,1,1,256,1,1,1.0,1,1,1
layer2.0.masker.maskconv.conv,56,56,3,3,256,1,2,1.0,1,1,1
layer2.0.conv1,56,56,1,1,256,128,1,0.8619362562894821,1,1,0
layer2.0.conv2,56,56,3,3,128,128,2,0.7864395529031754,1,1,0
layer2.0.conv3,28,28,1,1,128,512,1,0.7864395529031754,1,1,0
layer2.0.downsample,56,56,1,1,256,512,2,1.0,1,1,0
layer2.1.masker.maskconv.fc,1,1,1,1,512,1,1,1.0,1,1,1
layer2.1.masker.maskconv.conv,28,28,3,3,512,1,1,1.0,1,1,1
layer2.1.conv1,28,28,1,1,512,128,1,0.8913366124033928,1,1,0
layer2.1.conv2,28,28,3,3,128,128,1,0.46266746520996094,1,1,0
layer2.1.conv3,28,28,1,1,128,512,1,0.46266746520996094,1,1,0
layer2.2.masker.maskconv.fc,1,1,1,1,512,1,1,1.0,1,1,1
layer2.2.masker.maskconv.conv,28,28,3,3,512,1,1,1.0,1,1,1
layer2.2.conv1,28,28,1,1,512,128,1,0.45563066005706787,1,1,0
layer2.2.conv2,28,28,3,3,128,128,1,0.1814950704574585,1,1,0
layer2.2.conv3,28,28,1,1,128,512,1,0.1814950704574585,1,1,0
layer2.3.masker.maskconv.fc,1,1,1,1,512,1,1,1.0,1,1,1
layer2.3.masker.maskconv.conv,28,28,3,3,512,1,1,1.0,1,1,1
layer2.3.conv1,28,28,1,1,512,128,1,0.0,1,1,0
layer2.3.conv2,28,28,3,3,128,128,1,0.0,1,1,0
layer2.3.conv3,28,28,1,1,128,512,1,0.0,1,1,0
layer3.0.masker.maskconv.fc,1,1,1,1,512,1,1,1.0,1,1,1
layer3.0.masker.maskconv.conv,28,28,3,3,512,1,2,1.0,1,1,1
layer3.0.conv1,28,28,1,1,512,256,1,0.9057652577757835,1,1,0
layer3.0.conv2,28,28,3,3,256,256,2,0.8275633305311203,1,1,0
layer3.0.conv3,14,14,1,1,256,1024,1,0.8275633305311203,1,1,0
layer3.0.downsample,28,28,1,1,512,1024,2,1.0,1,1,0
layer3.1.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer3.1.masker.maskconv.conv,14,14,3,3,1024,1,1,1.0,1,1,1
layer3.1.conv1,14,14,1,1,1024,256,1,0.8026103228330612,1,1,0
layer3.1.conv2,14,14,3,3,256,256,1,0.4187360405921936,1,1,0
layer3.1.conv3,14,14,1,1,256,1024,1,0.4187360405921936,1,1,0
layer3.2.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer3.2.masker.maskconv.conv,14,14,3,3,1024,1,1,1.0,1,1,1
layer3.2.conv1,14,14,1,1,1024,256,1,0.5794589221477509,1,1,0
layer3.2.conv2,14,14,3,3,256,256,1,0.21282494068145752,1,1,0
layer3.2.conv3,14,14,1,1,256,1024,1,0.21282494068145752,1,1,0
layer3.3.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer3.3.masker.maskconv.conv,14,14,3,3,1024,1,1,1.0,1,1,1
layer3.3.conv1,14,14,1,1,1024,256,1,0.7710170149803162,1,1,0
layer3.3.conv2,14,14,3,3,256,256,1,0.43876397609710693,1,1,0
layer3.3.conv3,14,14,1,1,256,1024,1,0.43876397609710693,1,1,0
layer3.4.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer3.4.masker.maskconv.conv,14,14,3,3,1024,1,1,1.0,1,1,1
layer3.4.conv1,14,14,1,1,1024,256,1,0.6003742516040802,1,1,0
layer3.4.conv2,14,14,3,3,256,256,1,0.2596948742866516,1,1,0
layer3.4.conv3,14,14,1,1,256,1024,1,0.2596948742866516,1,1,0
layer3.5.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer3.5.masker.maskconv.conv,14,14,3,3,1024,1,1,1.0,1,1,1
layer3.5.conv1,14,14,1,1,1024,256,1,0.6347300112247467,1,1,0
layer3.5.conv2,14,14,3,3,256,256,1,0.24852555990219116,1,1,0
layer3.5.conv3,14,14,1,1,256,1024,1,0.24852555990219116,1,1,0
layer4.0.masker.maskconv.fc,1,1,1,1,1024,1,1,1.0,1,1,1
layer4.0.masker.maskconv.conv,14,14,3,3,1024,1,2,1.0,1,1,1
